Store,Country,Region,Date,Item,Salesperson,List Price,Actual Price,Discount %,,,,
Sydney,Australia,APAC,7/20/2016,Iron,James White,30,27,10.00%,,,,
Osaka,Japan,APAC,3/26/2018,Coffee grinder,Jill Thompson,70,64,8.57%,,,,
Lima,Peru,Americas,6/23/2014,Toaster,Cheryl Glover,50,36,28.00%,,,,
San Fransisco,USA,Americas,8/30/2018,Blender,Gillan Clark,50,43,14.00%,,,,
Bogota,Columbia,Americas,4/1/2018,Air conditioner,Antony Westlake,700,693,1.00%,,,,
Warsaw,Poland,EMEA,5/24/2014,Refrigerator,Hin Bragg,1000,810,19.00%,,,,
Berlin,Germany,EMEA,7/3/2015,Iron,James Whitehead,30,24,20.00%,,,,
Kansas City,USA,Americas,2/17/2017,Washing Machine,Christina Pedley,800,648,19.00%,,,,
Shenzhen,China,APAC,3/16/2014,Refrigerator,Ronald Butler,1000,990,1.00%,,,,
Prague,Czech Republic,EMEA,4/23/2017,Washing Machine,David Stewart,800,720,10.00%,,,,
Shenzhen,China,APAC,12/4/2014,Toaster,Gary Shaw,50,39,22.00%,,,,
Amsterdam,Netherlands,EMEA,12/10/2016,Ceiling fan,Donald Barratt,150,144,4.00%,,,,
Shanghai,China,APAC,9/15/2016,Air conditioner,Wolf Christian,700,693,1.00%,,,,
Mexico City,Mexico,Americas,7/26/2018,Toaster,Brendon Dyer,50,45,10.00%,,,,
Buenos Aires,Argentina,Americas,10/1/2018,Refrigerator,Stuart Brown,1000,570,43.00%,,,,
Shanghai,China,APAC,2/19/2014,Blender,Alen Dinan,50,40,20.00%,,,,
Berlin,Germany,EMEA,11/17/2017,Washing Machine,Jacqueline Clamp,800,608,24.00%,,,,
Birmingham,UK,EMEA,7/17/2016,Microwave,Susan Reay,80,76,5.00%,,,,
Dublin,Ireland,EMEA,4/29/2017,Air conditioner,Andrew Phillips,700,679,3.00%,,,,
Seattle,USA,Americas,8/15/2014,Microwave,Alan Davie,80,58,27.50%,,,,
Madria,Spain,EMEA,3/14/2018,Iron,Penelope Freeland,30,26,13.33%,,,,
Shanghai,China,APAC,10/6/2017,Ceiling fan,Michelle Murray,150,140,6.67%,,,,
Bangalore,India,APAC,8/31/2016,Oven,Paul Rule,500,490,2.00%,,,,
Istanbul,Turkey,EMEA,8/23/2015,Vacuum Cleaner,Ian McCartan,250,155,38.00%,,,,
Bogota,Columbia,Americas,8/24/2015,Coffee grinder,Shelley Mannix,70,48,31.43%,,,,
Lima,Peru,Americas,4/11/2018,Coffee grinder,Janet Ford,70,69,1.43%,,,,
Vienna,Austria,EMEA,12/16/2017,Toaster,Janet Ward,50,47,6.00%,,,,
Sao Paolo,Brazil,Americas,11/25/2014,Vacuum Cleaner,Gary Reynolds,250,195,22.00%,,,,
Shanghai,China,APAC,12/7/2018,Washing Machine,Craig Johnson,800,512,36.00%,,,,
Shanghai,China,APAC,3/16/2018,Microwave,Christopher Snape,80,79,1.25%,,,,
Cairo,Egypt,EMEA,6/14/2015,Coffee grinder,John Barnett,70,50,28.57%,,,,
Kansas City,USA,Americas,7/15/2014,Ceiling fan,Robert Jenkins,150,150,0.00%,,,,
Kuala Lumpur,Malaysia,APAC,4/22/2016,Coffee grinder,Trudi Griffin,70,64,8.57%,,,,
Warsaw,Poland,EMEA,3/3/2015,Toaster,Valerie Brown,50,46,8.00%,,,,
Moscow,Russia,EMEA,11/20/2014,Refrigerator,Dermot Bailey,1000,880,12.00%,,,,
Buenos Aires,Argentina,Americas,3/1/2014,Washing Machine,Abdul Heywood,800,712,11.00%,,,,
Bangkok,Thailand,APAC,7/15/2017,Refrigerator,Mary Mitchell,1000,740,26.00%,,,,
Tel Aviv,Israel,EMEA,2/15/2015,Blender,Richard McGrath,50,35,30.00%,,,,
Prague,Czech Republic,EMEA,11/27/2017,Washing Machine,Edward Khan,800,704,12.00%,,,,
Osaka,Japan,APAC,4/8/2018,Refrigerator,Neil McAvoy,1000,930,7.00%,,,,
Madria,Spain,EMEA,6/30/2017,Dishwasher,Howard Jones,500,455,9.00%,,,,
Chicago,USA,Americas,10/29/2014,Air conditioner,Heather McGill,700,700,0.00%,,,,
Kuala Lumpur,Malaysia,APAC,12/11/2016,Microwave,Trudi Griffin,80,77,3.75%,,,,
Moscow,Russia,EMEA,4/27/2018,Iron,Alexander Hillier,30,29,3.33%,,,,
Jerusalem,Israel,EMEA,4/5/2017,Blender,Fiona Johnson,50,50,0.00%,,,,
Moscow,Russia,EMEA,4/17/2018,Air conditioner,Rita Hill,700,679,3.00%,,,,
Shenzhen,China,APAC,7/13/2014,Blender,Gary Shaw,50,45,10.00%,,,,
Bangkok,Thailand,APAC,3/17/2016,Iron,Stephen Burch,30,30,0.00%,,,,
Lima,Peru,Americas,7/24/2018,Iron,Claire Storey,30,30,0.00%,,,,
Berlin,Germany,EMEA,11/18/2015,Microwave,James Whitehead,80,62,22.50%,,,,
New York,USA,Americas,9/22/2014,Microwave,Barbara Turner,80,76,5.00%,,,,
Rome,Italy,EMEA,1/30/2017,Toaster,Audrey Kane,50,45,10.00%,,,,
Cairo,Egypt,EMEA,5/9/2015,Refrigerator,Robert Payne,1000,610,39.00%,,,,
Sao Paolo,Brazil,Americas,10/17/2015,Coffee grinder,Cheryl Tubbs,70,67,4.29%,,,,
Riyadh,Saudi Arabia,EMEA,4/10/2017,Coffee grinder,Victoria Sherwin,70,68,2.86%,,,,
Cairo,Egypt,EMEA,10/16/2017,Toaster,Marek Kwiatkowski,50,50,0.00%,,,,
Berlin,Germany,EMEA,7/21/2014,Oven,Kate Pearce,500,495,1.00%,,,,
Ho Chi Minh City,Vietnam,APAC,9/7/2014,Coffee grinder,Ken Rogerson,70,62,11.43%,,,,
Amsterdam,Netherlands,EMEA,11/4/2017,Oven,Danny Grant,500,490,2.00%,,,,
Lima,Peru,Americas,3/11/2017,Microwave,Jacqueline Swaine,80,73,8.75%,,,,
Istanbul,Turkey,EMEA,1/11/2016,Air conditioner,Mark Buntain,700,616,12.00%,,,,
Bucharest,Romania,EMEA,12/12/2016,Iron,Constance Tidey,30,30,0.00%,,,,
Delhi,India,APAC,11/16/2015,Iron,Roy Johnson,30,23,23.33%,,,,
Kansas City,USA,Americas,9/19/2015,Toaster,Christina Pedley,50,36,28.00%,,,,
Madria,Spain,EMEA,4/17/2014,Oven,Barrie Murray,500,490,2.00%,,,,
Prague,Czech Republic,EMEA,9/10/2014,Washing Machine,Andrew Waddell,800,672,16.00%,,,,
Istanbul,Turkey,EMEA,11/2/2017,Oven,Richard Barr,500,490,2.00%,,,,
Kuala Lumpur,Malaysia,APAC,3/15/2016,Ceiling fan,Ian Baker,150,140,6.67%,,,,
San Fransisco,USA,Americas,1/19/2018,Oven,Gillan Clark,500,495,1.00%,,,,
Athens,Greece,EMEA,4/28/2018,Ceiling fan,Sarah Chadwick,150,150,0.00%,,,,
Birmingham,UK,EMEA,3/13/2014,Iron,Robert Reed,30,29,3.33%,,,,
San Fransisco,USA,Americas,8/28/2015,Oven,James Scott,500,500,0.00%,,,,
Osaka,Japan,APAC,7/7/2014,Refrigerator,Denise Clark,1000,510,49.00%,,,,
Chicago,USA,Americas,2/22/2016,Oven,Paul Collier,500,490,2.00%,,,,
Moscow,Russia,EMEA,12/11/2017,Toaster,Zulfiqar Mirza,50,50,0.00%,,,,
Madria,Spain,EMEA,7/6/2016,Air conditioner,Philip Sutherland,700,665,5.00%,,,,
Los Angeles,USA,Americas,8/2/2014,Vacuum Cleaner,Chandrakant Atkins,250,175,30.00%,,,,
Seattle,USA,Americas,10/30/2016,Blender,Derek Harris,50,48,4.00%,,,,
Madria,Spain,EMEA,4/19/2016,Ceiling fan,Penelope Freeland,150,146,2.67%,,,,
Bangkok,Thailand,APAC,5/25/2015,Ceiling fan,Mary Mitchell,150,143,4.67%,,,,
Paris,France,EMEA,10/5/2015,Coffee grinder,Joanne Sayer,70,57,18.57%,,,,
Riyadh,Saudi Arabia,EMEA,11/7/2017,Blender,Victoria Sherwin,50,46,8.00%,,,,
Bogota,Columbia,Americas,12/25/2017,Iron,Lisa Manning,30,27,10.00%,,,,
Athens,Greece,EMEA,4/5/2014,Dishwasher,Mark Lawton,500,500,0.00%,,,,
Bucharest,Romania,EMEA,7/7/2018,Dishwasher,Jacqueline Todd,500,500,0.00%,,,,
Birmingham,UK,EMEA,11/3/2018,Vacuum Cleaner,Philip Collins,250,225,10.00%,,,,
Cairo,Egypt,EMEA,10/5/2015,Iron,Basil Bain,30,26,13.33%,,,,
Bogota,Columbia,Americas,1/28/2016,Iron,Lisa Manning,30,27,10.00%,,,,
Jerusalem,Israel,EMEA,12/9/2015,Blender,John Bond,50,34,32.00%,,,,
Tokyo,Japan,APAC,11/8/2018,Oven,Tony Milner,500,500,0.00%,,,,
Vienna,Austria,EMEA,4/30/2017,Refrigerator,Peter Thompson,1000,780,22.00%,,,,
Tijuana,Mexico,Americas,3/5/2017,Vacuum Cleaner,Stephen Carlin,250,245,2.00%,,,,
Madria,Spain,EMEA,1/20/2017,Washing Machine,Roy Lloyd,800,784,2.00%,,,,
Kansas City,USA,Americas,5/7/2018,Coffee grinder,Nick Gee,70,60,14.29%,,,,
Toronto,Canada,Americas,10/15/2018,Oven,Stephen James,500,500,0.00%,,,,
Berlin,Germany,EMEA,9/4/2018,Washing Machine,Paul Mannion,800,496,38.00%,,,,
Tel Aviv,Israel,EMEA,8/31/2018,Coffee grinder,Jacob Percival,70,69,1.43%,,,,
Bangalore,India,APAC,8/18/2018,Iron,Paul Rule,30,29,3.33%,,,,
Rome,Italy,EMEA,6/15/2016,Coffee grinder,Steven Bell,70,65,7.14%,,,,
Delhi,India,APAC,4/5/2016,Microwave,Geoffrey Patel,80,78,2.50%,,,,
Shanghai,China,APAC,6/16/2015,Blender,Alen Dinan,50,39,22.00%,,,,
Ho Chi Minh City,Vietnam,APAC,4/15/2017,Iron,Rosemary Aziz,30,28,6.67%,,,,
Istanbul,Turkey,EMEA,6/25/2015,Dishwasher,Cordia Alston,500,315,37.00%,,,,
Tijuana,Mexico,Americas,5/5/2016,Iron,Kevin McLauchlin,30,29,3.33%,,,,
Dubai,UAE,EMEA,5/19/2016,Air conditioner,Marie Whitfield,700,595,15.00%,,,,
London,UK,EMEA,2/26/2014,Oven,Philip Dewar,500,500,0.00%,,,,
Tijuana,Mexico,Americas,11/26/2014,Vacuum Cleaner,Gillian Allnutt,250,243,2.80%,,,,
Kansas City,USA,Americas,1/26/2014,Toaster,Robert Arnold,50,40,20.00%,,,,
Osaka,Japan,APAC,4/26/2015,Coffee grinder,Neil McAvoy,70,47,32.86%,,,,
Rome,Italy,EMEA,4/6/2015,Blender,Andrew Hirst,50,46,8.00%,,,,
Warsaw,Poland,EMEA,6/3/2015,Oven,Robert Brook,500,500,0.00%,,,,
Mexico City,Mexico,Americas,3/25/2017,Microwave,Malcolm Griffith,80,77,3.75%,,,,
Dublin,Ireland,EMEA,1/16/2018,Blender,Alison Younger,50,43,14.00%,,,,
Delhi,India,APAC,8/7/2018,Ceiling fan,Steven Batty,150,143,4.67%,,,,
Bangkok,Thailand,APAC,6/9/2015,Refrigerator,John Jenkins,1000,610,39.00%,,,,
Tel Aviv,Israel,EMEA,6/5/2014,Toaster,Jacob Percival,50,41,18.00%,,,,
Chicago,USA,Americas,6/20/2015,Iron,Nicholas Knight,30,29,3.33%,,,,
Berlin,Germany,EMEA,10/29/2014,Microwave,Paul Mannion,80,70,12.50%,,,,
Istanbul,Turkey,EMEA,12/10/2018,Vacuum Cleaner,David Philp,250,240,4.00%,,,,
Madria,Spain,EMEA,5/20/2018,Iron,Roy Nunes,30,28,6.67%,,,,
Delhi,India,APAC,1/21/2018,Coffee grinder,Glen Campbell,70,64,8.57%,,,,
Seattle,USA,Americas,7/15/2015,Coffee grinder,Lesleyann Pope,70,51,27.14%,,,,
Sao Paolo,Brazil,Americas,7/11/2015,Toaster,Stephen Smith,50,41,18.00%,,,,
Lima,Peru,Americas,7/26/2018,Oven,William Lant,500,490,2.00%,,,,
Lima,Peru,Americas,6/16/2014,Oven,Christopher Cresswell,500,490,2.00%,,,,
Santiago,Chile,Americas,7/9/2015,Refrigerator,Ram Mathews,1000,910,9.00%,,,,
Buenos Aires,Argentina,Americas,8/19/2016,Iron,Naeem Perry,30,28,6.67%,,,,
Warsaw,Poland,EMEA,2/1/2014,Toaster,Anthony Connolly,50,44,12.00%,,,,
Madria,Spain,EMEA,5/25/2016,Microwave,Howard Jones,80,75,6.25%,,,,
Dubai,UAE,EMEA,6/22/2015,Vacuum Cleaner,Brenda Lightfoot,250,225,10.00%,,,,
Istanbul,Turkey,EMEA,9/24/2016,Iron,Chloe Lyons,30,30,0.00%,,,,
Buenos Aires,Argentina,Americas,9/21/2014,Vacuum Cleaner,Abdul Heywood,250,210,16.00%,,,,
Moscow,Russia,EMEA,4/26/2017,Vacuum Cleaner,Rita Hill,250,250,0.00%,,,,
Warsaw,Poland,EMEA,12/27/2017,Dishwasher,Tony Green,500,480,4.00%,,,,
Sydney,Australia,APAC,3/4/2016,Refrigerator,Armand Ahmed,1000,970,3.00%,,,,
Bucharest,Romania,EMEA,7/21/2014,Ceiling fan,Geoffrey Shiner,150,144,4.00%,,,,
Kansas City,USA,Americas,3/26/2017,Air conditioner,Robert Arnold,700,637,9.00%,,,,
Jerusalem,Israel,EMEA,4/13/2016,Coffee grinder,Isla Parsons,70,63,10.00%,,,,
Jerusalem,Israel,EMEA,7/5/2018,Air conditioner,John Bond,700,672,4.00%,,,,
Shanghai,China,APAC,1/27/2015,Blender,Christopher Snape,50,42,16.00%,,,,
Prague,Czech Republic,EMEA,11/30/2018,Microwave,Stephen Nolan,80,78,2.50%,,,,
Santiago,Chile,Americas,11/25/2017,Toaster,Julia Hurren,50,49,2.00%,,,,
New York,USA,Americas,1/5/2014,Vacuum Cleaner,Simon Hirst,250,193,22.80%,,,,
Moscow,Russia,EMEA,2/16/2017,Microwave,Alexander Hillier,80,76,5.00%,,,,
Kansas City,USA,Americas,10/23/2015,Air conditioner,Christina Pedley,700,672,4.00%,,,,
Amsterdam,Netherlands,EMEA,12/26/2015,Iron,Danny Grant,30,28,6.67%,,,,
Istanbul,Turkey,EMEA,11/8/2014,Microwave,Francis Hall,80,66,17.50%,,,,
Dubai,UAE,EMEA,6/8/2015,Blender,Marie Whitfield,50,48,4.00%,,,,
Amsterdam,Netherlands,EMEA,2/12/2014,Dishwasher,Alan Evora,500,370,26.00%,,,,
Kansas City,USA,Americas,1/25/2016,Microwave,Xun Simms,80,72,10.00%,,,,
Birmingham,UK,EMEA,1/26/2015,Microwave,Gustavo Taiwo,80,58,27.50%,,,,
Toronto,Canada,Americas,10/3/2018,Microwave,James Hammond,80,73,8.75%,,,,
Los Angeles,USA,Americas,3/6/2015,Washing Machine,Colin Matthews,800,776,3.00%,,,,
Chicago,USA,Americas,8/26/2018,Ceiling fan,Barry Baldwin,150,147,2.00%,,,,
Sao Paolo,Brazil,Americas,1/9/2016,Ceiling fan,Elizabeth Holloway,150,134,10.67%,,,,
Warsaw,Poland,EMEA,7/15/2016,Iron,Anthony Connolly,30,8,73.33%,,,,
Dubai,UAE,EMEA,11/29/2014,Ceiling fan,Peter Kelly,150,135,10.00%,,,,
Santiago,Chile,Americas,9/22/2014,Coffee grinder,Julia Hurren,70,59,15.71%,,,,
Bangalore,India,APAC,12/20/2017,Refrigerator,Paul Rule,1000,500,50.00%,,,,
Los Angeles,USA,Americas,2/19/2017,Dishwasher,Christopher Kitching,500,495,1.00%,,,,
Bucharest,Romania,EMEA,2/16/2018,Toaster,Constance Tidey,50,49,2.00%,,,,
Toronto,Canada,Americas,1/10/2014,Blender,Michael Patel,50,48,4.00%,,,,
Osaka,Japan,APAC,9/4/2015,Air conditioner,Tracy Stanley,700,560,20.00%,,,,
Bangalore,India,APAC,8/4/2014,Refrigerator,Stuart Sykes,1000,500,50.00%,,,,
Los Angeles,USA,Americas,8/13/2018,Oven,Christopher Kitching,500,495,1.00%,,,,
Chicago,USA,Americas,10/4/2016,Iron,Marie Foster,30,29,3.33%,,,,
San Fransisco,USA,Americas,7/6/2014,Blender,Gary Acheampong,50,44,12.00%,,,,
Jerusalem,Israel,EMEA,9/3/2014,Refrigerator,John Bond,1000,710,29.00%,,,,
San Fransisco,USA,Americas,4/16/2016,Ceiling fan,John Osborne,150,150,0.00%,,,,
Osaka,Japan,APAC,10/23/2016,Toaster,Paul Atkins,50,44,12.00%,,,,
Mexico City,Mexico,Americas,3/5/2015,Iron,Denise Rodgers,30,24,20.00%,,,,
Santiago,Chile,Americas,7/31/2015,Vacuum Cleaner,Julia Hurren,250,163,34.80%,,,,
Bangkok,Thailand,APAC,10/8/2018,Microwave,Arthur Moncrieff,80,78,2.50%,,,,
Dublin,Ireland,EMEA,7/22/2018,Microwave,Alison Younger,80,78,2.50%,,,,
Shanghai,China,APAC,6/6/2017,Air conditioner,Alen Dinan,700,651,7.00%,,,,
Athens,Greece,EMEA,7/14/2015,Toaster,Aidan Perrott,50,36,28.00%,,,,
Warsaw,Poland,EMEA,4/21/2014,Oven,Alexandra Wright,500,500,0.00%,,,,
Madria,Spain,EMEA,7/26/2015,Ceiling fan,Zhan Whitfield,150,140,6.67%,,,,
Vienna,Austria,EMEA,12/4/2017,Air conditioner,Daniel Henderson,700,700,0.00%,,,,
Ho Chi Minh City,Vietnam,APAC,4/12/2017,Ceiling fan,Barbara Love,150,144,4.00%,,,,
Berlin,Germany,EMEA,9/23/2017,Dishwasher,Paul Sherwin,500,465,7.00%,,,,
Kuala Lumpur,Malaysia,APAC,3/5/2016,Toaster,Ian Baker,50,50,0.00%,,,,
Bangkok,Thailand,APAC,3/11/2015,Blender,Nicole Marshall,50,49,2.00%,,,,
Seattle,USA,Americas,8/17/2014,Toaster,Susan Toye,50,44,12.00%,,,,
Berlin,Germany,EMEA,10/21/2016,Oven,Paul Mannion,500,490,2.00%,,,,
Berlin,Germany,EMEA,7/1/2018,Air conditioner,Natasha Carvalho,700,623,11.00%,,,,
Kansas City,USA,Americas,6/11/2014,Air conditioner,Ronnette Stocks,700,574,18.00%,,,,
Tokyo,Japan,APAC,1/27/2016,Coffee grinder,Pauline Pope,70,68,2.86%,,,,
Seoul,South Korea,APAC,9/26/2018,Coffee grinder,Roger Scott,70,69,1.43%,,,,
Santiago,Chile,Americas,3/11/2016,Iron,Ram Mathews,30,29,3.33%,,,,
Toronto,Canada,Americas,9/16/2018,Washing Machine,Alison Storey,800,696,13.00%,,,,
Istanbul,Turkey,EMEA,4/14/2016,Air conditioner,David Philp,700,602,14.00%,,,,
Kansas City,USA,Americas,4/8/2014,Toaster,Douglas Davies,50,40,20.00%,,,,
Ho Chi Minh City,Vietnam,APAC,4/5/2017,Blender,Susan Passey,50,50,0.00%,,,,
Santiago,Chile,Americas,11/22/2017,Toaster,Bruce McPhee,50,49,2.00%,,,,
Riyadh,Saudi Arabia,EMEA,7/19/2014,Dishwasher,Victoria Sherwin,500,425,15.00%,,,,
Warsaw,Poland,EMEA,9/21/2018,Oven,Alexandra Wright,500,500,0.00%,,,,
Istanbul,Turkey,EMEA,9/30/2015,Washing Machine,Bryan Mason,800,680,15.00%,,,,
Tel Aviv,Israel,EMEA,12/12/2017,Ceiling fan,Rebecca Delo,150,144,4.00%,,,,
Vienna,Austria,EMEA,2/6/2016,Refrigerator,Peter Thompson,1000,680,32.00%,,,,
Sao Paolo,Brazil,Americas,12/30/2017,Ceiling fan,Cheryl Tubbs,150,140,6.67%,,,,
Jerusalem,Israel,EMEA,5/20/2017,Iron,Abu Moore,30,28,6.67%,,,,
Bogota,Columbia,Americas,1/23/2014,Washing Machine,Antony Westlake,800,544,32.00%,,,,
Toronto,Canada,Americas,3/18/2016,Toaster,Robin Hall,50,47,6.00%,,,,
Jerusalem,Israel,EMEA,7/20/2014,Microwave,Carole Owen,80,60,25.00%,,,,
Kuala Lumpur,Malaysia,APAC,6/17/2018,Iron,Rachel Oliver,30,26,13.33%,,,,
Kansas City,USA,Americas,9/23/2016,Oven,Ronnette Stocks,500,495,1.00%,,,,
Guangzhou,China,APAC,5/9/2014,Refrigerator,Carl Snape,1000,620,38.00%,,,,
New York,USA,Americas,3/14/2018,Oven,John Bull,500,490,2.00%,,,,
Athens,Greece,EMEA,8/11/2014,Iron,Charles Ali,30,21,30.00%,,,,
Guangzhou,China,APAC,5/28/2015,Iron,Wolfgang Carvalho,30,20,33.33%,,,,
Shanghai,China,APAC,6/19/2015,Refrigerator,Michelle Murray,1000,910,9.00%,,,,
Bangkok,Thailand,APAC,10/23/2016,Coffee grinder,Nicole Marshall,70,68,2.86%,,,,
Bogota,Columbia,Americas,3/27/2016,Air conditioner,Gary Percival,700,623,11.00%,,,,
Athens,Greece,EMEA,2/28/2014,Oven,Gary Roberts,500,490,2.00%,,,,
Seoul,South Korea,APAC,11/4/2016,Toaster,Leonard Green,50,50,0.00%,,,,
Santiago,Chile,Americas,6/26/2015,Refrigerator,Richard James,1000,790,21.00%,,,,
Sydney,Australia,APAC,9/19/2014,Ceiling fan,Christine Davies,150,144,4.00%,,,,
Bucharest,Romania,EMEA,7/14/2015,Refrigerator,Richard Rowe,1000,960,4.00%,,,,
Vienna,Austria,EMEA,1/17/2018,Dishwasher,Bryan Clement,500,445,11.00%,,,,
Bangalore,India,APAC,10/23/2018,Dishwasher,Paresh Mathews,500,435,13.00%,,,,
Capetown,South Africa,EMEA,8/27/2014,Oven,Thomas Davies,500,490,2.00%,,,,
Bogota,Columbia,Americas,10/14/2017,Vacuum Cleaner,Ronald Curtis,250,230,8.00%,,,,
Santiago,Chile,Americas,12/12/2015,Washing Machine,Ram Mathews,800,472,41.00%,,,,
Cairo,Egypt,EMEA,2/11/2016,Refrigerator,David Amos,1000,510,49.00%,,,,
Riyadh,Saudi Arabia,EMEA,9/22/2016,Vacuum Cleaner,Danny Brooks,250,230,8.00%,,,,
Cairo,Egypt,EMEA,4/1/2018,Blender,John Barnett,50,48,4.00%,,,,
Bangalore,India,APAC,3/2/2015,Microwave,Colin Lima,80,49,38.75%,,,,
Cairo,Egypt,EMEA,11/18/2015,Oven,Marek Kwiatkowski,500,490,2.00%,,,,
Buenos Aires,Argentina,Americas,3/5/2018,Vacuum Cleaner,Stuart Brown,250,248,0.80%,,,,
